Unnamed: 0,Case_Number,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species,fatal_injury,shark_species,month_incident,country_code,continent,lat,long,geometry
0,2018.06.25,2018,Boat,USA,California,"Oceanside, San Diego County",Surfing,F,57,"No injury to occupant, outrigger canoe and paddle damaged",N,18:00,White shark,,white shark,Jun,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
1,2018.06.18,2018,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",Standing,F,11,Minor injury to left thigh,N,14:00  -15:00,Unknown,,,Jun,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
2,2018.06.09,2018,Invalid,USA,Hawaii,"Habush, Oahu",Surfing,M,48,Injury to left lower leg from surfboard skeg,N,07:45,Unknown,,,Jun,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
3,2018.06.08,2018,Unprovoked,Australia,New South Wales,Arrawarra Headland,Surfing,M,,Minor injury to lower leg,N,07:45,shark,,,Jun,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4,2018.06.04,2018,Provoked,Mexico,Colima,La Ticla,Free,M,,Lacerations to leg & hand shark PROVOKED INCIDENT,N,07:45,"Tiger shark, ",,tiger shark,Jun,MX,,22.5000485,-100.000037,POINT (-100.000037 22.5000485)
5,2018.06.03,2018,Unprovoked,Australia,New South Wales,"Flat Rock, Ballina",Kite,M,,"No injury, board bitten",N,07:45,Unknown,,,Jun,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
6,2018.06.03,2018,Unprovoked,Brazil,Pernambuco,"Piedade Beach, Recife",Swimming,M,18,FATAL,Y,19:30,Tiger shark,FATAL,tiger shark,Jun,BR,SA,-10.3333333,-53.2,POINT (-53.2 -10.3333333)
7,2018.05.27,2018,Unprovoked,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,52,Minor injury to foot. PROVOKED INCIDENT,N,19:30,"Lemon shark, ",,lemon shark,May,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
8,2018.05.26,2018,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Walking,M,15,Lower left leg bitten,N,17:00,"Bull shark, ",,bull shark,May,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
9,2018.05.26,2018,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,M,12,Minor injury to foot,N,14:00,Unknown,,,May,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
10,2018.05.24,2018,Provoked,Australia,Queensland,Cairns Aquarium,Feeding,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,08:30,Grey reef shark,,grey reef shark,May,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
11,2018.05.21,2018,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",Boogie,M,10,Injuries to lower right leg and foot,N,08:30,Unknown,,,May,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
12,2018.05.13,2018,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Severe bite to right forearm,N,15:00,Unknown,,,May,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
13,2018.05.13,2018,Invalid,United Kingdom,Cornwall,Off Land's End,Fishing,M,21,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,08:15,Invalid incident,,,May,GB,EU,54.7023545,-3.2765753,POINT (-3.2765753 54.7023545)
14,2018.05.00,2018,Provoked,Australia,Westerm Australia,Dugong Bay,Feeding,F,34,Shallow lacerations to finger PROVOKED INCIDENT,N,08:15,"Tawny nurse shark, ",,nurse shark,May,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
15,2018.05.12,2018,Unprovoked,South Africa,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,,"Minor injury, marks on board",N,11:00,Unknown,,,May,ZA,AF,-28.8166236,24.991639,POINT (24.991639 -28.8166236)
16,2018.05.09,2018,Unknown,Australia,New South Wales,"Sharpes Beach, Ballina",Surfing,M,,"No injury, surfboard damaged",N,10:30,Shark involvement not confirmed,,,May,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
17,2018.04.30,2018,Unprovoked,Thailand,Hua Hin,Sai Noi Beach,Swimming,M,,Minor injury to ankle,N,10:30,Unknown,,,Apr,TH,AS,14.8971921,100.83273,POINT (100.83273 14.8971921)
18,2018.04.28,2018,Unprovoked,Costa Rica,Cocos Island,Manuelita,Diving,M,30,"No injury, shark bit scuba gear",N,10:40,Tiger shark,,tiger shark,Apr,CR,,10.2735633,-84.0739102,POINT (-84.0739102 10.2735633)
19,2018.04.28,2018,Unprovoked,Australia,Western Australia,Gearys Beach,Surfing,M,,"No injury, knocked off board by shark",N,16:50,Unknown,,,Apr,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
20,2018.04.25,2018,Unknown,Australia,New South Wales,Lennox Head,Surfing,M,,No injury,N,07:00,Questionable,,,Apr,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
21,2018.04.25,2018,Unprovoked,Australia,Western Australia,"Surfers Point, Prevelly",Surfing,M,60,"No injury, knocked off board by shark",N,09:30,shark,,,Apr,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
22,2018.04.24,2018,Unprovoked,Australia,Western Australia,"South Point, Gracetown",Surfing,M,,"No injury, shark struck his leg",N,18:30,"White shark,",,white shark,Apr,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
23,2018.04.23,2018,Unprovoked,Maldives,Alifu Alifu Atoll,Madoogali,Fishing,M,32,5-inch cut to hand,N,21:50,Tiger shark,,tiger shark,Apr,MV,AS,4.7064352,73.3287853,POINT (73.32878530000001 4.7064352)
24,2018.04.22,2018,Unprovoked,South Africa,Western Cape Province,"Robberg Beach, Plettenberg Bay",Surfing,M,33,"No injury, shark bit hole in ski",N,09:40,"White shark,",,white shark,Apr,ZA,AF,-28.8166236,24.991639,POINT (24.991639 -28.8166236)
25,2018.04.19,2018,Unprovoked,USA,Hawaii,"Shipwreck’s Beach, Keoneloa Bay, Kauai",Surfing,M,29,Lacerations to right lower leg,N,09:40, shark,,,Apr,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
26,2018.04.15,2018,Unprovoked,Thailand,Hua Hin,Sai Noi Beach,Swimming,M,54,Lacerations to foot and ankle,N,09:40,Juvenile bull shark,,bull shark,Apr,TH,AS,14.8971921,100.83273,POINT (100.83273 14.8971921)
27,2018.04.15,2018,Unprovoked,Brazil,Pernambuco,Piedade,Swimming,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",Unknown,09:40,Unknown,,,Apr,BR,SA,-10.3333333,-53.2,POINT (-53.2 -10.3333333)
28,2018.04.15,2018,Unprovoked,Australia,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,41,Laceration to right thigh,N,09:40,Unknown,,,Apr,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
29,2018.04.15,2018,Unprovoked,Australia,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,37,Lacerations to legs,N,08:00,Unknown,,,Apr,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
30,2018.04.14,2018,Unprovoked,Bahamas,New Providence,Nirvana Beach,Surfing,M,,No Injury. Shark swam away with the surf board,N,09:30,Tiger shark,,tiger shark,Apr,BS,,24.7736546,-78.0000547,POINT (-78.00005470000001 24.7736546)
31,2018.04.10,2018,Invalid,Brazil,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,M,56,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,09:30,Shark involvement not confirmed,,,Apr,BR,SA,-10.3333333,-53.2,POINT (-53.2 -10.3333333)
32,2018.04.09,2018,Unprovoked,New Caledonia,Unknown,"Magenta Beach, Noumea",Surfing,Unknown,,"No injury, shark bit board",N,17:00,shark,,,Apr,NC,OC,-21.3019905,165.4880773,POINT (165.4880773 -21.3019905)
33,2018.04.05,2018,Unprovoked,Bahamas,Unknown,Bimini,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",N,18:00,Bull shark,,bull shark,Apr,BS,,24.7736546,-78.0000547,POINT (-78.00005470000001 24.7736546)
34,2018.04.03,2018,Unprovoked,South Africa,Eastern Cape Province,St. Francis Bay,Surfing,M,19,Lacerations to left knee & lower leg,N,15:00,White shark,,white shark,Apr,ZA,AF,-28.8166236,24.991639,POINT (24.991639 -28.8166236)
35,2018.03.31,2018,Unprovoked,USA,Hawaii,Kukio Beach,Stand,M,25,Injuries to right leg & hand,N,09:30,"Tiger shark, '",,tiger shark,Mar,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
36,2018.03.14,2018,Unprovoked,Australia,Western Australia,Waterman's Bay,Wading,M,10,Minor injuries to legs,N,17:35,Wobbegong shark,,wobbegong shark,Mar,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
37,2018.03.09,2018,Unprovoked,Australia,Victoria,Lorne,Swimming,M,69,"No injury, said to have been charged by sharks several times",N,15:30,shark,,,Mar,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
38,2018.03.09,2018,Unprovoked,Australia,Victoria,Winkipop,Surfing,M,18,"Minor injury, ankle grazed",N,07:30,shark,,,Mar,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
39,2018.02.24,2018,Unprovoked,South Africa,KwaZulu-Natal,Durban,Diving,M,38, The shark & man simply collided; neither were injured,N,07:30,Blacktip shark,,blacktip shark,Feb,ZA,AF,-28.8166236,24.991639,POINT (24.991639 -28.8166236)
40,2018.02.23,2018,Unprovoked,Australia,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,F,55,Laceratons to right leg & foot,N,"19:00, 07:30","Juvenile white shark,  ",,white shark,Feb,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
41,2018.02.17,2018,Provoked,Australia,Victoria,Westernport Bay,Kayaking,M,34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,21:30,Unknown,,,Feb,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
42,2018.02.15,2018,Unprovoked,Australia,New South Wales,"Surf Beach, Kiama",Walking,M,35,Puncture wounds to leff foot & lower leg,N,16:00,"Bull shark,",,bull shark,Feb,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
43,2018.02.14,2018,Invalid,Australia,Queensland,Mooloolaba Beach,Swimming,F,,"Collision / No injury, no attack",N,18:00,Possibly wobbegong,,,Feb,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
44,2018.02.11,2018,Invalid,Brazil,"Boi Island, Victoria",Espirito Santo,Cleaning,F,46,Lacerations to 4 toes of right foot,N,18:00,"Injury believed caused by an eel, not shark",,,Feb,BR,SA,-10.3333333,-53.2,POINT (-53.2 -10.3333333)
45,2018.02.03,2018,Unprovoked,Ecuador,Galapagos Islands,Santa Fe Island,Snorkeling,M,45,Injuries to right foot,N,18:00,Galapagos shark?,,galapagos shark,Feb,EC,SA,-1.3397668,-79.3666965,POINT (-79.3666965 -1.3397668)
46,2018.02.01,2018,Invalid,Australia,Western Australia,"Avalon Point, Manurah",Spearfishing,M,14,"No injury no attack. This is considerd an ""encounter""",N,18:00, shark,,,Feb,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
47,2018.01.28,2018,Unprovoked,Australia,Western Australia,Cone Bay,Unknown,M,18,Injuries to right leg,N,08:00,Bull shark,,bull shark,Jan,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
48,2018.01.21,2018,Unprovoked,New Caledonia,Unknown,Nouville,Spearfishing,M,40s,Injuries to abdomen and arm,N,15:30,"Bull shark, ",,bull shark,Jan,NC,OC,-21.3019905,165.4880773,POINT (165.4880773 -21.3019905)
49,2018.01.14,2018,Unprovoked,Australia,Queensland,Lizard Island,Diving,M,,Severe laceration to left forearm,N,15:01,Grey reef shark.,,grey reef shark,Jan,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
50,2018.01.13,2018,Unprovoked,Australia,New South Wales,Martin Islet,Free,M,28,"No injury, shark took his swimfin",N,15:01,"White shark,",,white shark,Jan,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
51,2018.01.12,2018,Unprovoked,Brazil,Fernando de Noronha,Conceicao Beach,Surfing,M,20,Minor injury to left forearm,N,19:30,small shark,,,Jan,BR,SA,-10.3333333,-53.2,POINT (-53.2 -10.3333333)
52,2018.01.05,2018,Unprovoked,Australia,Western Australia,"South Point, Gracetown",Surfing,M,,Foot bitten,N,19:30,Wobbegong shark?,,wobbegong shark,Jan,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
53,2017.12.31,2017,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",Surfing,F,54,Severe lacerations to left thigh & knee,N,18:00,Tiger shark,,tiger shark,Dec,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
54,2017.12.30,2017,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,35,Foot bitten,N,12:00,Unknown,,,Dec,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
55,2017.12.21,2017,Provoked,Malaysia,Sepang,Bagan Lalang Beach,Fishing/,M,24,"Minor injury to thigh, PROVOKED INCIDENT",N,12:00,Juvenile nurse shark,,nurse shark,Dec,MY,AS,4.5693754,102.2656823,POINT (102.2656823 4.5693754)
56,2017.12.09,2017,Unprovoked,Bahamas,Unknown,,Snorkeling,F,25,Minor injury to arm,N,12:00,Nurse shark. ,,nurse shark,Dec,BS,,24.7736546,-78.0000547,POINT (-78.00005470000001 24.7736546)
57,2017.11.30,2017,Unprovoked,Costa Rica,Cocos Island,Manuelita,Diving,M,26,Serious injury to leg,N,12:00,"Tiger shark, female",,tiger shark,Nov,CR,,10.2735633,-84.0739102,POINT (-84.0739102 10.2735633)
58,2017.11.30,2017,Unprovoked,Costa Rica,Cocos Island,Manuelita,Diving,F,49,FATAL,Y,12:00,"Tiger shark, female",FATAL,tiger shark,Nov,CR,,10.2735633,-84.0739102,POINT (-84.0739102 10.2735633)
59,2017.11.25,2017,Sea Disaster,Libya,Unknown, Gars Garabulli,2,Unknown,,FATAL,Y,12:00,Some drowned but otheray have been killed by blue sharks,FATAL,blue shark,Nov,LY,AF,26.8234472,18.1236723,POINT (18.1236723 26.8234472)
60,2017.11.24,2017,Unprovoked,USA,California,"Stillwater Cove, Monterey County",Spearfishing,M,25,Right leg bitten,N,13:45,"White shark,",,white shark,Nov,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
61,2017.11.18,2017,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,F,14,Heel bitten,N,19:30,Unknown,,,Nov,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
62,2017.11.13,2017,Unprovoked,Unknown,Unknown,,Surfing,M,24,Puncture wounds to feet,N,19:30,Unknown,,,Nov,Unknown,Unknown,25.029422,-77.36195598496681,POINT (-77.36195598496681 25.029422)
63,2017.11.13,2017,Unprovoked,Australia,New South Wales,Avoca Beach,Surfing,M,25,Puncture wounds to left shoulder,N,16:00,shark,,,Nov,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
64,2017.11.04,2017,Unprovoked,Cuba,Holquin Province,Guardalavaca Beach,Night,M,22,FATAL,Y,23:30,Tiger shark,FATAL,tiger shark,Nov,CU,,23.0131338,-80.8328748,POINT (-80.8328748 23.0131338)
65,2017.10.31,2017,Unprovoked,Australia,Queensland,Magnetic Island,Snorkeling,M,7,Calf injured,N,23:30,Cookiecutter shark,,,Oct,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
66,2017.10.28,2017,Unprovoked,Australia,New South Wales,Birubi Point,Surfing,M,31,Minor injury to foot,N,09:00,"Wobbegong shark,",,wobbegong shark,Oct,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
67,2017.10.26,2017,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",Stand,M,,No injury but shark bit SUP,N,15:00,Unknown,,,Oct,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
68,2017.10.23,2017,Unprovoked,Mauritius,Pamplemousses ,Le Goulet,Swimming,M,,Minor injury to foot,N,18:30,Unknown,,,Oct,MU,AF,-20.2759451,57.5703566,POINT (57.5703566 -20.2759451)
69,2017.10.23,2017,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing,M,17,Lacerations to left foot,N,17:00,Unknown,,,Oct,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
70,2017.10.23,2017,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,60,Severe lacerations to left hand & wrist,N,08:00,Unknown,,,Oct,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
71,2017.10.22,2017,Unprovoked,Australia,South Australia,Normanville,Kayaking/,F,15,Minor injuries,N,18:30,"White shark,",,white shark,Oct,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
72,2017.10.21,2017,Unprovoked,New Zealand,North Island,"Off Tapuna Beach, Auckand",Kayaking,M,,"No injury, shark shook kayak x3 ",N,09:00,shark,,,Oct,NZ,OC,-41.5000831,172.8344077,POINT (172.8344077 -41.5000831)
73,2017.10.18,2017,Unprovoked,USA,Florida,"Lantana Beach, Palm Beach County",Swimming,M,,Puncture wounds & lacerations to foot,N,14:30,"Spinner shark, feet",,spinner shark,Oct,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
74,2017.10.09,2017,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,M,54,Lacerations to left hand,N,18:30,"Tiger shark, feet",,tiger shark,Oct,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
75,2017.10.05,2017,Unprovoked,USA,Hawaii,"Kama‘ole Beach Park, Maui ",Snorkeling,F,40,Abrasions,N,12:30, shark,,,Oct,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
76,2017.10.01,2017,Invalid,South Africa,Western Cape Province,Dyer Island,Diving,M,31,FATAL,Unknown,12:30,Deathay have been due drowning,FATAL,,Oct,ZA,AF,-28.8166236,24.991639,POINT (24.991639 -28.8166236)
77,2017.09.25,2017,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,,Lacerations to lower left leg and foot,N,08:30, shark,,,Sep,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
78,2017.09.25,2017,Unprovoked,Australia,Western Australia,Gracetown,Surfing,M,,"No injury, board damaged by shark",N,18:00,"White shark,",,white shark,Sep,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
79,2017.09.24,2017,Invalid,USA,New York,Rockaway,Surfing,M,33,"Lacerations to right ankle, foot & toe",Unknown,15:30,Questionable,,,Sep,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
80,2017.09.24,2017,Unprovoked,USA,Florida,Fort Worth,Surfing,M,,Laceration to upper arm,N,14:00, shark,,,Sep,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
81,2017.09.20,2017,Unprovoked,USA,Florida,Palm Beach County,Surfing,M,,Minor lacerations to sole of left foot,N,08:30,Unknown,,,Sep,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
82,2017.09.16,2017,Unprovoked,Spain,Canary Islands,Gran Canaria ,Surfing,M,13,Lacerations to right foot,N,08:30,"Porbeagle,",,,Sep,ES,EU,39.3260685,-4.8379791,POINT (-4.8379791 39.3260685)
83,2017.09.16,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,28,Lacerations to left foot,N,16:30,Unknown,,,Sep,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
84,2017.09.15,2017,Invalid,South Africa,Western Cape Province,Hawston,Diving,M,25,"FATAL, but death was probably due to drowning",Unknown,18:30,Unknown,FATAL,,Sep,ZA,AF,-28.8166236,24.991639,POINT (24.991639 -28.8166236)
85,2017.09.15,2017,Unknown,Samoa, Upolu Island,Nofoali’i,Fishing,M,,Injuries to hands and legs,N,21:30,Unknown,,,Sep,WS,OC,-13.7693895,-172.12005,POINT (-172.12005 -13.7693895)
86,2017.09.14,2017,Boat,Australia,Westerm Australia,Esperance,Fishing,Unknown,,"sharks rammed boats, no injury to occupants",N,21:30,"White shark, ",,white shark,Sep,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
87,2017.09.13,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,18,Lacerations to left foot,N,18:45, shark,,,Sep,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
88,2017.09.10,2017,Unprovoked,Australia,Westerm Australia,Sam's Creek area,Swimming,M,,Minor injuries,N,15:00,Unknown,,,Sep,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
89,2017.09.10,2017,Unprovoked,Australia,New South Wales,Iluka Beach,Surfing,M,35,Minor lacerations to right hip,N,06:00,"White shark, ",,white shark,Sep,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
90,2017.09.06,2017,Unprovoked,Solomon Islands,Unknown,Owarigi Island,Spearfishing,M,,Foot bitten,N,06:00,Unknown,,,Sep,SB,OC,-8.7053941,159.1070693851845,POINT (159.1070693851845 -8.705394099999999)
91,2017.09.03,2017,Unprovoked,South Africa,Western Cape Province,Dyer Island,"Swimming,",M,,FATAL,Y,08:30,Unknown,FATAL,,Sep,ZA,AF,-28.8166236,24.991639,POINT (24.991639 -28.8166236)
92,2017.09.03,2017,Unprovoked,Japan,Shizuoka Prefecture,Iwata City,Surfing,M,42,Injury to ankle & feet,N,10:00,Unknown,,,Sep,JP,AS,36.5748441,139.2394179,POINT (139.2394179 36.5748441)
93,2017.09.02,2017,Unprovoked,USA,Florida,"Marathon, Monroe County",Swimming,M,,Lacerations to abdomen,N,10:00,Nurse shark,,nurse shark,Sep,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
94,2017.09.02,2017,Unprovoked,USA,Texas,"South Padre Island, Cameron County",Swimming,F,,Lacerations to foot,N,10:00,Unknown,,,Sep,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
95,2017.09.02,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Minor injury to right hand,N,10:44,Unknown,,,Sep,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
96,2017.08.29,2017,Unprovoked,Australia,Victoria,Cathedral Rock,Surfing,M,37,"No injury, board bitten",N,10:30,"White shark,",,white shark,Aug,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
97,2017.08.27,2017,Unprovoked,USA,Florida,Bathtub Beach ,Wading,F,3,Leg injured,N,13:19,Unknown,,,Aug,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
98,2017.08.26,2017,Invalid,Spain,Castellón,Grao de Moncofa,Swimming,F,11,Lacerations to left foot,Unknown,12:00,Shark involvement questionable,,,Aug,ES,EU,39.3260685,-4.8379791,POINT (-4.8379791 39.3260685)
99,2017.08.26,2017,Unprovoked,New Zealand,North Island,Off Tutukaka,Canoeing,M,,"No injury, shark bit canoe",N,12:00,Unknown,,,Aug,NZ,OC,-41.5000831,172.8344077,POINT (172.8344077 -41.5000831)
100,2017.08.23,2017,Unprovoked,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",SUP,M,69,Not injured by shark but board bitten,N,10:00,"White shark,  ",,white shark,Aug,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
101,2017.08.18,2017,Unprovoked,Bahamas,Unknown,,Spearfishing,M,,Hand injured,N,15:00, shark,,,Aug,BS,,24.7736546,-78.0000547,POINT (-78.00005470000001 24.7736546)
102,2017.08.10,2017,Unprovoked,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swimming,M,13,Minor cuts to sole & toes of left foot,N,13:30,Possibly juvenile blacktip shark,,blacktip shark,Aug,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
103,2017.08.05,2017,Unprovoked,Egypt,Red Sea Protectorate,Marsa Ghalib,Snorkeling,F,20,Bite to right leg/hip,N,13:30,"Oceanic whitetip shark, ",,oceanic whitetip shark,Aug,EG,AF,26.2540493,29.2675469,POINT (29.2675469 26.2540493)
104,2017.08.03,2017,Provoked,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",Fishing,M,34,Foot bitten by landed shark PROVOKED INCIDENT,N,23:30, shark,,,Aug,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
105,2017.08.01,2017,Boat,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",Kayaking/,M,,"No injury, bow of kayak bitten",N,10:45,"White shark, '",,white shark,Aug,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
106,2017.07.31,2017,Unprovoked,USA,Florida,"Jacksonvlle, Duval County",Skimboarding,M,15,Lacerations to lower leg,N,18:30,Unknown,,,Jul,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
107,2017.07.29,2017,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Abrasions and cuts to sole of foot,Unknown,15:00,small shark,,,Jul,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
108,2017.07.29,2017,Unprovoked,USA,South Carolina,"DeBordieu Colony, Georgetown County",Unknown,F,12,Bite to left thigh / minor injury,N,18:30,Unknown,,,Jul,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
109,2017.07.27,2017,Unprovoked,Bahamas,New Providence District,Rose Island,Snorkeling,F,,Foot & ankle injured,N,18:30,Unknown,,,Jul,BS,,24.7736546,-78.0000547,POINT (-78.00005470000001 24.7736546)
110,2017.07.26,2017,Unprovoked,Bahamas,40 miles off Grand Bahama Island,,Spearfishing,M,,Severe lacerations to left hand,N,18:30,Unknown,,,Jul,BS,,24.7736546,-78.0000547,POINT (-78.00005470000001 24.7736546)
111,2017.07.24,2017,Unprovoked,"Saint Helena, Ascension and Tristan da Cunha",Ascension Island,English Bay,Surfing,M,37,Torso bitten,N,17:00,Unknown,,,Jul,SH,AF,-15.96545515,-5.702575637953244,POINT (-5.702575637953244 -15.96545515)
112,2017.07.23,2017,Unprovoked,USA,New Jersey,Ventnor,Unknown,F,,Minor injury to hand,N,17:00,Sandtiger shark  ,,tiger shark,Jul,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
113,2017.07.23,2017,Unprovoked,Spain,Majorca,"Estanys Beach, Colonia de Sant",Swimming,F,,Abrasion to arm from shark's rough skin,N,18:30,Blue shark ,,blue shark,Jul,ES,EU,39.3260685,-4.8379791,POINT (-4.8379791 39.3260685)
114,2017.07.22,2017,Unprovoked,USA,Florida,"Snipes Point, Monroe County",Unknown,F,40,Foot bitten,N,12:30,small shark,,,Jul,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
115,2017.07.20,2017,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,F,8,Foot injured,Unknown,12:30,Shark involvement not confirmed,,,Jul,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
116,2017.07.20,2017,Boat,USA,California,"Stearns Wharf, Santa Barbara",Kayaking,M,40,"No injury, kayak bitten",N,11:20,"White shark, '",,white shark,Jul,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
117,2017.07.20,2017,Unprovoked,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",SUP,M,50,"No injury, shark bit paddleboard",N,07:45,"White shark,  '",,white shark,Jul,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
