Unnamed: 0,Case_Number,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species,fatal_injury,shark_species,month_incident,country_code,continent,lat,long,geometry
4736,1941.09.25,1941,Unprovoked,Caribbean Sea,Unknown,125 nm north of Aruba,SS,M,,Leg lacerated FATAL,Y,21:30,Unknown,FATAL,,Sep,Unknown,Unknown,15.0000001,-75.0000001,POINT (-75.00000009999999 15.0000001)
4737,1941.08.21,1941,Provoked,USA,New York,Montauk,Fishing,Unknown,,Laceration to left forearm from hooked shark PROVOKED INCIDENT,N,21:30,Unknown,,,Aug,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
4738,1941.08.05,1941,Invalid,Australia,New South Wales,Parramata River,Swimming,M,,Shark involvement prior to death unconfirmed,Unknown,21:30,Shark involvement prior death unconfirmed,,,Aug,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4739,1941.08.01,1941,Unprovoked,USA,South Carolina,Sullivan's Island at entrance to Charleston Harbor,Swimming,M,20,Chest lacerated,N,21:30,Unknown,,,Aug,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
4740,1941.07.22,1941,Boat,USA,New Jersey,"Brielle, Monmouth County (Offshore)",Fishing,Unknown,,"No injury to occupants, shark leapt into boat & bit cabin door",N,12:00,Mako shark,,mako shark,Jul,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
4741,1941.07.01,1941,Provoked,USA,Hawaii,"Nankuli, O'ahu",Fishing,M,,Arm bitten while removing shark from fishing line PROVOKED INCIDENT,N,12:00,lb shark,,,Jul,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
4742,1941.06.15,1941,Provoked,USA,New York,15 miles south of Jones Inlet,Fishing',M,43,Left hand bitten as he tried to put rope around shark's tail PROVOKED INCIDENT,N,14:00,shark,,,Jun,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
4743,1941.06.00,1941,Sea Disaster,Pacific Ocean,Off coast of Ecuador,Between Esmeraldas & Salinas,"Ditched,.",M,,"1 man survived & was rescued, sharks took the corpses of the two men that perished",Y,17:30,Unknown,,,Jun,Unknown,Unknown,-0.703107,-120.9375,POINT (-120.9375 -0.703107)
4744,1941.03.24,1941,Sea Disaster,South Atlantic Ocean,Unknown,750 miles off the African coast,The,M,,Dr. A.R. Hernandez of ship Cabo Hornos treated passenger whose leg was severed by a shark,N,17:30,Unknown,,,Mar,Unknown,Unknown,-45.0,-15.0,POINT (-15 -45)
4745,1941.03.09,1941,Provoked,USA,California,"Santa Monica, Los Angeles County",Fishing,M,53,Right hand bitten by boated shark PROVOKED INCIDENT,N,21:30,Mako shark (akbonishark) ,,mako shark,Mar,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
4746,1941.02.13,1941,Provoked,Australia,New South Wales,Wollongong,Fishing,M,34,Hand lacerated by hooked shark PROVOKED INCIDENT,N,21:30,Unknown,,,Feb,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
